MatchID,MatchDate,MatchRound,XCATeam,XCATeamID,Comp,Season,LeagueName
721544714,2023-12-30 18:00:00,11,H,997971,L,86,Germany
721544715,2023-12-30 18:00:00,11,H,1001925,L,86,Germany
721544716,2023-12-30 18:00:00,11,H,999217,L,86,Germany
721544717,2023-12-30 18:00:00,11,H,981764,L,86,Germany
721544718,2024-01-06 18:00:00,12,H,520558,L,86,Germany
721544719,2024-01-06 18:00:00,12,H,132574,L,86,Germany
721544720,2024-01-06 18:00:00,12,H,1158254,L,86,Germany
721544721,2024-01-06 18:00:00,12,H,649555,L,86,Germany
721544722,2024-01-13 18:00:00,13,H,1158254,L,86,Germany
721544723,2024-01-13 18:00:00,13,H,1001925,L,86,Germany
721544724,2024-01-13 18:00:00,13,H,999217,L,86,Germany
721544725,2024-01-13 18:00:00,13,H,981764,L,86,Germany
721544726,2024-01-20 18:00:00,14,H,520558,L,86,Germany
721544727,2024-01-20 18:00:00,14,H,649555,L,86,Germany
721544729,2024-01-20 18:00:00,14,H,997971,L,86,Germany
721544730,2024-01-20 18:00:00,14,H,132574,L,86,Germany
721544772,2023-12-30 18:00:00,11,H,1003046,L,86,Germany
721544780,2024-01-13 18:00:00,13,H,1003046,L,86,Germany
721544826,2023-12-30 18:00:00,11,H,978059,L,86,Germany
721544827,2023-12-30 18:00:00,11,H,1156007,L,86,Germany
721544829,2023-12-30 18:00:00,11,H,1156943,L,86,Germany
721544831,2024-01-06 18:00:00,12,H,983915,L,86,Germany
721544832,2024-01-06 18:00:00,12,H,1138585,L,86,Germany
721544833,2024-01-06 18:00:00,12,H,1135742,L,86,Germany
721544834,2024-01-13 18:00:00,13,H,1138585,L,86,Germany
721544835,2024-01-13 18:00:00,13,H,1156007,L,86,Germany
721544837,2024-01-13 18:00:00,13,H,1156943,L,86,Germany
721544838,2024-01-20 18:00:00,14,H,1135742,L,86,Germany
721544839,2024-01-20 18:00:00,14,H,983915,L,86,Germany
721544840,2024-01-20 18:00:00,14,H,978059,L,86,Germany
721544882,2023-12-30 18:00:00,11,H,1002972,L,86,Germany
721544884,2023-12-30 18:00:00,11,H,1136283,L,86,Germany
721544885,2023-12-30 18:00:00,11,H,1002569,L,86,Germany
721544888,2024-01-06 18:00:00,12,H,1136434,L,86,Germany
721544891,2024-01-13 18:00:00,13,H,1136283,L,86,Germany
721544894,2024-01-13 18:00:00,13,H,1002569,L,86,Germany
721544895,2024-01-20 18:00:00,14,H,1002972,L,86,Germany
721544896,2024-01-20 18:00:00,14,H,1136434,L,86,Germany
721544936,2023-12-30 18:00:00,11,H,1003673,L,86,Germany
721544937,2023-12-30 18:00:00,11,H,335670,L,86,Germany
721544940,2023-12-30 18:00:00,11,H,1152199,L,86,Germany
721544941,2023-12-30 18:00:00,11,H,647745,L,86,Germany
721544945,2024-01-06 18:00:00,12,H,334798,L,86,Germany
721544947,2024-01-13 18:00:00,13,H,1003673,L,86,Germany
721544948,2024-01-13 18:00:00,13,H,647745,L,86,Germany
721544949,2024-01-13 18:00:00,13,H,1152199,L,86,Germany
721544951,2024-01-20 18:00:00,14,H,334798,L,86,Germany
721544953,2024-01-20 18:00:00,14,H,335670,L,86,Germany
721544995,2023-12-30 18:00:00,11,H,821271,L,86,Germany
721545000,2024-01-06 18:00:00,12,H,648218,L,86,Germany
721545018,2024-01-13 18:00:00,13,H,821271,L,86,Germany
721545006,2024-01-20 18:00:00,14,H,648218,L,86,Germany
721545051,2023-12-30 18:00:00,11,H,645994,L,86,Germany
721545052,2023-12-30 18:00:00,11,H,823943,L,86,Germany
721545058,2024-01-13 18:00:00,13,H,823943,L,86,Germany
721545060,2024-01-13 18:00:00,13,H,645994,L,86,Germany
721545165,2023-12-30 18:00:00,11,H,644036,L,86,Germany
721545173,2024-01-13 18:00:00,13,H,644036,L,86,Germany
721545221,2023-12-30 18:00:00,11,H,338958,L,86,Germany
721545229,2024-01-13 18:00:00,13,H,338958,L,86,Germany
721545275,2023-12-30 18:00:00,11,H,1159178,L,86,Germany
721545278,2024-01-06 18:00:00,12,H,997112,L,86,Germany
721545283,2024-01-13 18:00:00,13,H,997112,L,86,Germany
721545284,2024-01-13 18:00:00,13,H,1159178,L,86,Germany
721545331,2023-12-30 18:00:00,11,H,823901,L,86,Germany
721545334,2023-12-30 18:00:00,11,H,525368,L,86,Germany
721545336,2024-01-06 18:00:00,12,H,524474,L,86,Germany
721545337,2024-01-06 18:00:00,12,H,53915,L,86,Germany
721545332,2024-01-06 18:00:00,12,H,1283735,L,86,Germany
721545333,2024-01-06 18:00:00,12,H,822748,L,86,Germany
721545338,2024-01-13 18:00:00,13,H,524474,L,86,Germany
721545339,2024-01-13 18:00:00,13,H,525368,L,86,Germany
721545342,2024-01-20 18:00:00,14,H,53915,L,86,Germany
721545343,2024-01-20 18:00:00,14,H,1283735,L,86,Germany
721545344,2024-01-20 18:00:00,14,H,823901,L,86,Germany
721545345,2024-01-20 18:00:00,14,H,822748,L,86,Germany
721545386,2023-12-30 18:00:00,11,H,984210,L,86,Germany
721545387,2023-12-30 18:00:00,11,H,339872,L,86,Germany
721545391,2024-01-06 18:00:00,12,H,1003571,L,86,Germany
721545393,2024-01-06 18:00:00,12,H,1290704,L,86,Germany
721545395,2024-01-13 18:00:00,13,H,1290704,L,86,Germany
721545396,2024-01-13 18:00:00,13,H,339872,L,86,Germany
721545400,2024-01-20 18:00:00,14,H,984210,L,86,Germany
721545401,2024-01-20 18:00:00,14,H,1003571,L,86,Germany
721545442,2023-12-30 18:00:00,11,H,819843,L,86,Germany
721545446,2023-12-30 18:00:00,11,H,646383,L,86,Germany
721545448,2024-01-06 18:00:00,12,H,523424,L,86,Germany
721545450,2024-01-13 18:00:00,13,H,523424,L,86,Germany
721545453,2024-01-13 18:00:00,13,H,646383,L,86,Germany
721545456,2024-01-20 18:00:00,14,H,819843,L,86,Germany
721545556,2023-12-30 18:00:00,11,H,339489,L,86,Germany
721545559,2024-01-06 18:00:00,12,H,1153389,L,86,Germany
721545563,2024-01-13 18:00:00,13,H,339489,L,86,Germany
721545569,2024-01-20 18:00:00,14,H,1153389,L,86,Germany
721545612,2023-12-30 18:00:00,11,H,646206,L,86,Germany
721545613,2023-12-30 18:00:00,11,H,1142700,L,86,Germany
